LSOACode,Cluster
E01000001,0
E01000002,0
E01000003,3
E01000006,3
E01000010,3
E01000011,1
E01000013,1
E01000015,1
E01000016,1
E01000017,1
E01000018,1
E01000020,1
E01000021,1
E01000023,1
E01000025,1
E01000027,1
E01000028,1
E01000029,3
E01000031,3
E01000032,1
E01000035,1
E01000036,3
E01000037,2
E01000038,2
E01000039,2
E01000040,1
E01000043,1
E01000044,1
E01000046,1
E01000050,1
E01000052,1
E01000054,1
E01000056,1
E01000058,1
E01000059,1
E01000060,1
E01000062,1
E01000063,1
E01000064,1
E01000065,1
E01000066,2
E01000067,3
E01000068,3
E01000069,3
E01000070,3
E01000071,3
E01000072,1
E01000073,1
E01000074,1
E01000075,1
E01000076,1
E01000077,1
E01000078,1
E01000079,1
E01000080,1
E01000081,1
E01000082,1
E01000083,1
E01000084,1
E01000085,1
E01000087,1
E01000088,1
E01000089,1
E01000090,1
E01000092,1
E01000097,1
E01000098,1
E01000099,1
E01000100,1
E01000102,1
E01000105,1
E01000106,1
E01000107,1
E01000108,3
E01000109,1
E01000110,2
E01000111,1
E01000112,3
E01000113,3
E01000114,3
E01000115,0
E01000116,3
E01000117,0
E01000118,0
E01000119,3
E01000120,0
E01000122,0
E01000123,0
E01000124,3
E01000125,1
E01000131,3
E01000132,1
E01000135,3
E01000136,3
E01000137,1
E01000138,3
E01000139,3
E01000140,3
E01000141,3
E01000142,3
E01000145,3
E01000146,3
E01000147,3
E01000148,1
E01000150,3
E01000155,3
E01000156,3
E01000157,3
E01000158,3
E01000159,3
E01000160,3
E01000161,3
E01000162,3
E01000163,1
E01000164,1
E01000165,3
E01000166,2
E01000167,1
E01000168,0
E01000169,3
E01000170,3
E01000171,3
E01000172,0
E01000173,0
E01000174,3
E01000175,0
E01000177,3
E01000178,3
E01000179,3
E01000180,3
E01000181,3
E01000182,3
E01000183,3
E01000184,1
E01000185,1
E01000186,0
E01000187,3
E01000188,0
E01000190,0
E01000191,0
E01000192,3
E01000193,3
E01000195,1
E01000196,3
E01000197,3
E01000198,0
E01000199,0
E01000200,0
E01000201,0
E01000202,0
E01000203,3
E01000204,3
E01000205,0
E01000206,0
E01000207,0
E01000208,0
E01000209,0
E01000210,3
E01000211,3
E01000213,0
E01000214,3
E01000215,3
E01000216,3
E01000217,3
E01000222,3
E01000224,3
E01000226,1
E01000227,0
E01000228,0
E01000229,3
E01000230,0
E01000231,3
E01000232,3
E01000233,3
E01000234,3
E01000235,1
E01000236,3
E01000237,3
E01000238,3
E01000239,3
E01000240,3
E01000241,3
E01000242,3
E01000243,3
E01000244,3
E01000246,0
E01000247,0
E01000248,0
E01000249,0
E01000250,3
E01000251,3
E01000252,3
E01000253,0
E01000254,0
E01000255,3
E01000256,0
E01000257,1
E01000258,3
E01000259,3
E01000260,3
E01000261,0
E01000262,2
E01000263,0
E01000264,3
E01000265,3
E01000266,0
E01000267,3
E01000268,3
E01000269,0
E01000270,0
E01000271,0
E01000272,0
E01000273,3
E01000274,3
E01000275,0
E01000276,0
E01000277,3
E01000278,0
E01000280,0
E01000282,0
E01000283,0
E01000284,3
E01000285,2
E01000286,3
E01000287,1
E01000288,3
E01000290,2
E01000292,3
E01000293,0
E01000294,3
E01000295,3
E01000296,3
E01000297,3
E01000298,3
E01000299,3
E01000300,3
E01000301,0
E01000302,3
E01000304,3
E01000305,3
E01000309,3
E01000310,3
E01000311,3
E01000312,3
E01000313,3
E01000314,3
E01000316,3
E01000317,3
E01000318,3
E01000319,3
E01000320,0
E01000321,3
E01000322,3
E01000323,3
E01000324,3
E01000325,0
E01000326,2
E01000327,0
E01000328,0
E01000329,2
E01000330,2
E01000331,2
E01000332,2
E01000333,1
E01000334,2
E01000335,1
E01000336,1
E01000337,2
E01000338,2
E01000339,2
E01000340,2
E01000341,0
E01000342,0
E01000343,2
E01000344,0
E01000345,0
E01000346,0
E01000347,2
E01000348,0
E01000349,0
E01000350,0
E01000351,0
E01000352,2
E01000353,0
E01000354,2
E01000355,0
E01000356,0
E01000357,0
E01000358,0
E01000359,0
E01000360,3
E01000361,2
E01000362,0
E01000363,0
E01000364,0
E01000365,2
E01000366,0
E01000367,1
E01000368,1
E01000369,2
E01000370,0
E01000371,0
E01000372,1
E01000374,1
E01000375,2
E01000376,2
E01000377,2
E01000378,2
E01000379,2
E01000380,1
E01000381,2
E01000382,0
E01000383,2
E01000384,3
E01000385,1
E01000386,1
E01000387,0
E01000388,0
E01000389,2
E01000390,0
E01000391,2
E01000392,1
E01000393,0
E01000394,0
E01000395,0
E01000396,0
E01000398,2
E01000399,2
E01000400,2
E01000401,1
E01000402,2
E01000403,1
E01000404,1
E01000405,1
E01000406,3
E01000407,2
E01000408,1
E01000409,0
E01000410,0
E01000411,2
E01000412,0
E01000413,2
E01000414,3
E01000415,0
E01000416,1
E01000417,2
E01000418,2
E01000419,0
E01000420,2
E01000421,0
E01000423,0
E01000424,0
E01000425,0
E01000426,0
E01000427,2
E01000428,1
E01000429,1
E01000430,2
E01000432,1
E01000433,1
E01000435,1
E01000436,0
E01000437,2
E01000438,2
E01000439,1
E01000440,0
E01000441,1
E01000442,2
E01000443,2
E01000444,0
E01000445,0
E01000446,0
E01000447,3
E01000448,0
E01000449,0
E01000450,2
E01000451,2
E01000452,0
E01000453,2
E01000454,2
E01000455,0
E01000456,0
E01000457,3
E01000458,0
E01000459,2
E01000460,0
E01000461,0
E01000462,2
E01000463,0
E01000467,2
E01000468,2
E01000469,3
E01000472,3
E01000475,3
E01000477,3
E01000479,3
E01000480,3
E01000486,3
E01000487,3
E01000489,3
E01000490,3
E01000491,3
E01000492,3
E01000493,3
E01000494,3
E01000503,3
E01000504,3
E01000508,1
E01000512,3
E01000513,3
E01000514,3
E01000515,3
E01000520,3
E01000522,1
E01000523,1
E01000527,1
E01000530,3
E01000531,3
E01000533,1
E01000534,3
E01000535,3
E01000536,3
E01000538,0
E01000539,0
E01000544,1
E01000545,3
E01000546,3
E01000547,3
E01000548,1
E01000549,3
E01000553,1
E01000554,3
E01000555,3
E01000557,3
E01000558,3
E01000561,3
E01000563,0
E01000564,3
E01000566,3
E01000567,3
E01000569,0
E01000571,3
E01000572,0
E01000573,3
E01000575,3
E01000576,3
E01000577,1
E01000578,3
E01000579,3
E01000580,3
E01000581,3
E01000582,3
E01000583,3
E01000584,3
E01000585,3
E01000586,3
E01000590,3
E01000600,1
E01000608,3
E01000610,3
E01000612,3
E01000613,3
E01000615,3
E01000616,3
E01000622,3
E01000629,3
E01000637,1
E01000639,3
E01000641,1
E01000642,3
E01000644,3
E01000645,0
E01000646,0
E01000647,0
E01000648,0
E01000649,0
E01000650,0
E01000651,0
E01000652,0
E01000653,0
E01000654,0
E01000655,0
E01000656,0
E01000657,2
E01000658,0
E01000659,0
E01000661,2
E01000662,2
E01000663,2
E01000664,2
E01000665,0
E01000666,0
E01000667,0
E01000668,3
E01000669,0
E01000670,0
E01000671,3
E01000672,0
E01000673,0
E01000674,3
E01000675,3
E01000676,3
E01000677,3
E01000678,0
E01000679,0
E01000680,0
E01000681,0
E01000682,0
E01000683,0
E01000684,0
E01000685,2
E01000686,0
E01000687,0
E01000688,0
E01000689,1
E01000690,0
E01000691,2
E01000692,0
E01000693,0
E01000694,0
E01000695,0
E01000696,0
E01000697,0
E01000698,0
E01000699,3
E01000700,3
E01000701,3
E01000702,3
E01000703,3
E01000704,3
E01000705,3
E01000706,3
E01000707,0
E01000708,0
E01000709,3
E01000710,0
E01000711,3
E01000712,0
E01000713,0
E01000714,3
E01000715,0
E01000716,0
E01000717,0
E01000718,1
E01000719,1
E01000720,1
E01000722,1
E01000723,2
E01000724,1
E01000725,1
E01000726,2
E01000727,2
E01000728,2
E01000729,1
E01000730,1
E01000731,1
E01000732,2
E01000733,2
E01000734,0
E01000735,1
E01000736,1
E01000737,1
E01000738,2
E01000739,1
E01000740,3
E01000741,1
E01000742,3
E01000743,1
E01000744,1
E01000745,3
E01000746,3
E01000747,2
E01000748,0
E01000749,0
E01000750,1
E01000751,0
E01000752,0
E01000753,0
E01000754,0
E01000755,0
E01000756,0
E01000757,0
E01000758,0
E01000759,0
E01000760,0
E01000761,0
E01000762,0
E01000763,0
E01000764,0
E01000765,0
E01000766,0
E01000767,0
E01000768,0
E01000769,2
E01000770,0
E01000771,0
E01000772,0
E01000773,0
E01000774,0
E01000775,0
E01000777,0
E01000778,0
E01000779,3
E01000780,1
E01000781,1
E01000782,1
E01000783,1
E01000784,0
E01000785,1
E01000786,0
E01000787,2
E01000788,3
E01000790,3
E01000791,0
E01000792,2
E01000793,0
E01000794,0
E01000795,2
E01000797,0
E01000799,3
E01000800,1
E01000801,3
E01000802,3
E01000803,3
E01000804,0
E01000805,3
E01000806,1
E01000807,0
E01000808,0
E01000809,0
E01000810,0
E01000811,0
E01000812,0
E01000813,0
E01000814,0
E01000815,0
E01000816,2
E01000818,0
E01000819,1
E01000820,3
E01000822,3
E01000823,0
E01000824,3
E01000825,3
E01000826,0
E01000827,0
E01000828,0
E01000829,0
E01000830,0
E01000831,0
E01000832,0
E01000833,0
E01000834,0
E01000835,0
E01000836,0
E01000837,0
E01000838,0
E01000839,0
E01000840,0
E01000841,0
E01000842,3
E01000843,3
E01000844,3
E01000845,3
E01000847,3
E01000848,3
E01000849,3
E01000852,3
E01000854,3
E01000855,3
E01000857,3
E01000859,3
E01000860,3
E01000861,3
E01000862,3
E01000863,3
E01000864,3
E01000866,3
E01000869,3
E01000870,1
E01000871,3
E01000872,3
E01000873,3
E01000874,3
E01000875,3
E01000876,1
E01000877,3
E01000878,3
E01000879,3
E01000880,3
E01000881,3
E01000882,3
E01000883,3
E01000884,0
E01000885,0
E01000886,3
E01000887,3
E01000888,3
E01000892,3
E01000893,0
E01000894,3
E01000895,3
E01000896,3
E01000897,0
E01000898,3
E01000899,0
E01000900,1
E01000903,3
E01000904,1
E01000906,3
E01000908,3
E01000909,3
E01000910,3
E01000911,3
E01000912,1
E01000913,0
E01000914,3
E01000918,3
E01000919,3
E01000920,3
E01000921,3
E01000922,1
E01000923,3
E01000924,3
E01000926,3
E01000927,3
E01000928,3
E01000930,1
E01000931,1
E01000932,3
E01000933,3
E01000937,3
E01000946,3
E01000947,3
E01000960,3
E01000961,3
E01000962,3
E01000963,3
E01000964,3
E01000965,3
E01000966,3
E01000967,3
E01000968,3
E01000969,3
E01000970,3
E01000971,3
E01000972,3
E01000973,3
E01000974,1
E01000975,3
E01000976,3
E01000977,1
E01000978,3
E01000979,3
E01000980,3
E01000981,3
E01000982,3
E01000983,3
E01000984,1
E01000985,0
E01000986,3
E01000987,0
E01000989,0
E01000991,0
