IMDScore,IncDepriv,EmpDepriv,EduSklDepriv,HealthDepriv,CrimScore,HousServDepriv,LivEnvDepriv,ChildIncDepriv,OldPplIncDepriv,ChildYPDepriv,AdultSklDepriv,GeoBarDepriv,WiderBarDepriv,IndoorDepriv,OutdoorDepriv
9.661,0.052,0.059,7.617,0.25,0.386,13.148,9.555,0.049,0.071,-0.748,0.262,0.313,-4.007,-1.177,0.332
15.26,0.101,0.101,21.148,0.012,0.277,7.898,15.181,0.144,0.114,0.144,0.339,-0.086,-3.656,0.157,-0.483
37.337,0.246,0.189,8.324,0.118,1.307,36.541,50.562,0.317,0.391,-0.213,0.209,-1.415,4.955,0.582,1.908
14.992,0.071,0.072,12.059,-0.067,0.467,19.437,38.188,0.078,0.132,0.297,0.116,-0.238,1.239,0.645,1.075
9.318,0.085,0.083,15.698,-0.451,-0.608,10.848,4.304,0.104,0.104,-0.149,0.315,-0.012,-1.952,-0.855,-0.747
4.752,0.05,0.048,12.257,-0.934,-0.89,12.665,5.847,0.103,0.067,-0.532,0.309,-0.028,-1.124,-1.001,-0.237
20.225,0.145,0.103,19.792,-0.274,0.089,29.676,29.239,0.262,0.119,0.464,0.265,0.597,0.876,0.92,-1.087
27.777,0.161,0.123,26.172,0.651,0.444,27.714,41.371,0.198,0.268,0.721,0.295,0.043,2.235,0.976,0.66
5.26,0.039,0.033,3.795,-1.782,-1.091,31.645,6.511,0.029,0.076,-0.909,0.201,1.034,-0.623,-0.377,-1.388
20.762,0.109,0.113,16.899,0.939,0.759,13.276,40.1,0.1315,0.167,1.843,0.469,-0.807,0.724,1.137,0.076
17.383,0.109,0.123,26.712,-0.219,-0.136,26.411,2.704,0.122,0.102,0.432,0.355,0.781,-0.818,-0.913,-1.461
19.748,0.142,0.133,19.972,0.067,0.279,5.716,27.079,0.197,0.165,-0.03,0.348,-0.793,-1.459,0.622,0.055
14.306,0.058,0.078,16.618,0.05,0.892,15.178,16.307,0.083,0.052,-0.225,0.333,0.001,-0.431,-0.834,0.834
6.14,0.034,0.048,2.039,-0.441,-0.449,27.861,4.278,0.044,0.036,-1.037,0.154,1.167,-4.369,-1.379,-0.314
9.786,0.069,0.068,12.434,-0.323,-0.544,9.941,27.037,0.09,0.086,-0.129,0.269,-0.347,-0.923,0.232,0.811
6.954,0.022,0.019,1.79,-1.739,-0.463,37.475,13.116,0.028,0.026,-1.01,0.133,1.575,-1.839,-0.727,0.486
26.227,0.184,0.153,38.983,0.258,-0.433,5.976,41.572,0.288,0.157,1.149,0.341,-0.743,-1.445,1.32,-0.591
12.282,0.112,0.091,11.666,-0.752,0.203,19.254,5.688,0.198,0.097,-0.074,0.247,-0.154,1.005,-1.125,-0.185
3.409,0.037,0.041,2.893,-1.322,-0.825,18.499,8.14,0.029,0.06,-0.855,0.166,0.537,-2.312,-0.823,-0.014
20.086,0.149,0.106,35.83,0.161,0.678,5.51,5.95,0.18,0.208,1.004,0.342,-0.644,-1.864,-0.652,-0.629
39.094,0.293,0.239,50.539,1.077,0.004,11.534,13.834,0.396,0.311,1.222,0.435,-0.593,0.044,-0.417,0.322
21.341,0.15,0.11,16.733,0.117,0.598,23.858,26.449,0.177,0.261,-0.134,0.325,-0.517,2.533,0.325,0.612
25.251,0.154,0.251,41.473,0.849,1.185,32.922,43.741,0.208,0.336,0.64,0.461,-1.004,4.381,1.03,0.749
25.251,0.247,0.24,19.564,1.213,1.396,33.606,35.9185,0.271,0.318,-0.007,0.341,-0.381,3.989,1.841,1.387
9.588,0.016,0.005,0.582,-0.365,0.297,24.322,49.184,0.022,0.034,-1.44,0.093,-0.556,2.646,0.632,2.024
9.073,0.069,0.064,4.308,-0.935,-0.489,29.914,12.335,0.075,0.108,-0.515,0.15,1.045,-1.288,-0.347,0.071
10.317,0.067,0.055,4.142,-0.354,-0.323,31.209,17.968,0.082,0.099,-0.759,0.194,1.349,-3.842,-0.608,0.853
12.031,0.059,0.08,25.273,-0.118,-0.09,12.787,15.377,0.065,0.084,-0.034,0.401,0.013,-1.253,0.228,-0.742
18.838,0.121,0.108,34.082,0.147,-0.006,21.222,9.186,0.164,0.118,0.861,0.355,0.261,0.21,-0.565,-0.101
22.325000000000003,0.306,0.136,29.308,1.302,0.656,8.191,28.91,0.193,0.255,1.149,0.4,-0.779,-0.62,0.835,-0.467
27.833,0.149,0.126,18.318,0.273,1.15,13.17,57.175,0.164,0.189,-0.127,0.341,-0.333,-0.015,1.084,1.732
20.202,0.138,0.082,10.314,-0.788,0.786,33.55,35.619,0.271,0.198,-0.04,0.215,-0.233,3.764,0.406,1.251
26.76,0.158,0.153,25.644,0.214,-0.357,25.794,49.465,0.186,0.156,0.478,0.336,0.676,-0.443,1.608,-1.083
47.995,0.099,0.22,54.194,0.958,0.62,23.88,50.388,0.391,0.12,1.361,0.438,-1.094,2.935,1.405,0.325
44.743,0.287,0.218,31.14,0.53,1.035,25.104,20.784,0.227,0.236,0.946,0.303,-0.114,2.089,2.25,0.147
11.989,0.061,0.047,10.448,-1.142,-0.048,34.487,30.195,0.129,0.058,-0.132,0.236,1.375,-1.619,0.937,-0.834
13.615,0.074,0.096,14.589,0.068,-0.983,19.527,27.048,0.045,0.117,-0.23,0.31,0.265,-0.25,0.759,-0.452
21.518,0.092,0.105,12.182,-0.201,-0.206,45.136,38.702,0.079,0.124,-0.144,0.267,1.325,1.467,1.216,-0.554
14.315,0.031,0.024,10.309,-0.611,1.121,24.879,42.864,0.021,0.118,0.171,0.109,-0.017,1.84,1.201,0.178
18.87,0.092,0.064,13.239,-0.838,-1.224,18.393,40.659,0.156,0.094,0.04,0.252,0.2745,-1.209,1.317,-0.867
19.125,0.143,0.121,18.619,-0.043,0.105,24.049,16.214,0.222,0.169,-0.474,0.374,-1.22,3.01,-0.122,0.246
8.301,0.077,0.078,6.436,-0.448,-0.056,5.913,8.963,0.104,0.071,-0.407,0.201,-0.239,-4.378,-0.535,-0.171
18.464,0.093,0.094,5.645,0.164,0.761,20.57,40.034,0.085,0.147,-0.5,0.196,-1.19,2.414,0.894,0.723
33.458,0.212,0.167,45.8,1.059,0.622,16.163,24.323,0.351,0.237,0.991,0.44,-0.01,-0.128,0.528,-0.047
23.282,0.187,0.126,25.198,0.274,-0.477,11.999,41.331,0.238,0.248,0.853,0.243,-0.284,-0.47,1.22,-0.082
