IMDScore,IncDepriv,EmpDepriv,EduSklDepriv,HealthDepriv,CrimScore,HousServDepriv,LivEnvDepriv,ChildIncDepriv,OldPplIncDepriv,ChildYPDepriv,AdultSklDepriv,GeoBarDepriv,WiderBarDepriv,IndoorDepriv,OutdoorDepriv,Cluster
23.265,0.172,0.16,17.955,0.476,0.002,21.793,14.877,0.206,0.189,0.008,0.322,0.33,0.079,-0.429,0.442,2
22.14,0.137,0.122,31.437,0.293,0.303,16.387,26.631,0.184,0.152,0.468,0.397,-0.667,1.258,0.212,0.805,2
9.422,0.102,0.072,12.436,-0.368,-0.816,12.186,8.886,0.107,0.196,-0.008,0.248,-0.01,-1.381,-0.433,-0.341,2
25.56,0.15,0.14,28.557,0.482,0.167,26.257,29.831,0.226,0.139,0.423,0.375,0.756,-0.73,0.834,-0.278,2
27.306,0.158,0.133,49.781,-0.095,0.131,41.949,1.317,0.213,0.165,1.148,0.444,1.038,1.766,-1.779,-0.975,2
13.742,0.091,0.101,13.249,0.371,-0.021,13.121,6.915,0.082,0.166,-0.186,0.288,0.245,-2.73,-0.64,-0.412,2
19.632,0.13,0.082,26.74,-0.374,0.562,28.855,23.197,0.227,0.139,0.424,0.357,0.977,-1.233,0.537,-0.256,2
13.735,0.091,0.082,28.551,0.039,-0.929,22.781,4.085,0.112,0.132,0.574,0.351,0.308,0.416,-1.003,-0.614,2
21.059,0.16,0.155,18.424,0.663,-0.398,14.939,8.672,0.183,0.172,-0.091,0.338,-0.348,0.461,-0.465,-0.327,2
23.437,0.178,0.138,29.446,0.19,0.282,20.903,14.912,0.24,0.143,0.514,0.37,-0.307,1.665,0.113,-0.391,2
22.824,0.152,0.125,35.237,0.603,0.244,8.087,19.241,0.207,0.173,0.883,0.363,-0.614,-0.918,0.304,-0.175,2
19.376,0.095,0.133,18.892,0.052,0.805,18.182,16.296,0.083,0.109,-0.061,0.34,0.558,-2.853,-0.962,0.882,2
25.527,0.122,0.123,34.388,0.41,1.227,10.086,27.98,0.182,0.12,0.649,0.397,-0.687,-0.207,0.599,0.221,2
16.659,0.134,0.09,19.837,0.088,0.085,13.74,22.809,0.202,0.188,0.374,0.286,-0.412,0.291,0.454,-0.06,2
19.146,0.142,0.116,26.103,-1.079,0.396,20.961,24.007,0.174,0.279,0.621,0.316,-0.29,1.644,0.632,-0.502,2
22.372,0.108,0.095,24.457,0.115,0.715,31.615,30.493,0.165,0.141,0.476,0.324,0.657,1.061,0.673,0.325,2
21.444,0.16,0.126,25.967,0.763,-0.11,16.368,7.221,0.17,0.247,0.214,0.379,-0.287,0.661,-1.073,0.013,2
14.065,0.102,0.072,16.85,-0.563,0.464,16.763,25.611,0.192,0.111,0.216,0.275,0.378,-1.822,-0.138,1.118,2
18.192,0.113,0.101,31.279,0.232,-0.122,11.182,24.973,0.189,0.103,0.518,0.387,0.022,-1.977,0.556,-0.034,2
17.127,0.103,0.082,19.282,0.144,0.386,22.85,22.652,0.149,0.153,0.101,0.324,0.767,-2.143,0.477,-0.147,2
15.084,0.104,0.096,11.773,0.338,-0.132,12.323,23.84,0.119,0.131,-0.72,0.316,0.139,-2.196,0.612,-0.438,2
23.127,0.166,0.178,19.782,0.739,-0.496,5.322,16.83,0.188,0.169,-0.121,0.356,-0.684,-1.857,-0.409,0.612,2
23.351,0.146,0.158,34.262,0.121,0.202,18.693,16.93,0.18,0.135,0.693,0.387,-0.245,1.089,0.367,-1.139,2
20.013,0.127,0.128,34.079,0.377,-0.549,15.562,15.993,0.168,0.138,0.674,0.389,0.376,-2.459,0.194,-0.438,2
19.864,0.113,0.076,37.395,-0.137,0.042,30.141,26.643,0.162,0.139,1.058,0.346,0.928,-0.502,0.301,0.671,2
10.392,0.075,0.063,14.277,-0.275,-0.213,14.644,21.349,0.1,0.123,-0.024,0.279,-0.062,-0.373,0.307,0.111,2
28.077,0.265,0.101,27.483,0.448,0.552,28.133,19.745,0.135,0.11,0.556,0.342,-0.145,2.704,0.061,0.376,2
